Gene	MB176	MB95	MB40	MB37	MB38	MB28	MB113	MB18	MB19	MB90	MB26	MB35	MB110	MB64	MB7	MB91	MB206	MB9	MB200	MB12	MB1M21	MB4M23	MB4M26	MB4M77	MB1M1
ENSG00000258628.1	0	0.0648880448891854	0.021203380570049	0.0177751977056504	0.00606161609219246	0	0.0062568951737728	0.0320095547694451	0.00637539606042532	0	0.00329424684624816	0.020843088349123	0.00478263813536005	0.00535028136007398	0.00380454969979482	0.00342315581342282	0	0.00356547990255131	0	0.653992862462524	0	0	0	0.0279675432767192	0
ENSG00000259156.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014222123573022	0	0	0	0.00947776244995649	0	0.180204614779969	0.0127996020515661	0.0133785825088807	0	0	0
ENSG00000258654.1	0.136244387233382	0.062016018552302	0.00964994872578367	0.0566281504585843	0.0193110711776632	0.019783964184244	0.0730883650144536	0.11374235626772	0	0	0	0.10513622074899	0.00380912713887902	0	0	0.00545273773197092	0.00865666102383449	0.00567944547571902	0.00550823517614262	0.457350963841587	0.107380301295003	0.120254538404175	0.0550714586273183	0.167060404354277	0
ENSG00000239083.1	0	1.24512948359581	0.871862815344632	0.651164742616992	0.158612287745703	0	0	0.257717953784763	0	0	0	0	0	0	0	0	0	0	0	5.32166753022096	0.125996082695104	0.131695421571794	0	0.182954345601871	0.133294217771904
ENSG00000265002.1	0	0	0.205648231629201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7597883088807	0.32690875510081	0	0	0.237346178078103	0
ENSG00000180229.8	2.03495063958509	1.35400545358255	2.15982937738729	5.25142395280982	0.175451608822328	1.61814611022797	2.20322263774448	1.91592736907757	3.08871524407934	0.206145182679388	0.818045471134183	0.324532053303701	1.41296096266022	1.65221994463243	0.410107722248703	2.98613219584395	0.174658317225724	2.90103583598152	0.295439954032781	13.153619426255	1.90315761273723	4.30802263979545	2.27574903541631	4.12292793572481	0.68130038835735
ENSG00000258488.2	0	0	0.0207047199191304	0.0243000253804592	0	0.0141493476274616	0.0071280365879897	0.0084152801235841	0.0108945543563186	0	0	0.0118725256083893	0.00817278026940438	0	0.0130027603345369	0	0.00928677172420883	0.073114167471093	0	0	0	0.0172010346542752	0	0.0238960777928975	0
ENSG00000215405.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00489721658639685	0.00295664237074797	0	0	0.184609029245789	0
ENSG00000258797.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13107176998343	0
ENSG00000181984.10	0	0	0	1.40826563518624	0	0.0117844424999255	0	0	0.00151227525059381	0	0	2.45226511943027	0	0	0	0	0.39833147500353	0	0	0.349989132687975	0	0.00238767903132998	0	0	0
ENSG00000242443.2	0	0.0389483318426843	0	0.032008097947379	0.0272881355261424	0	0.0187781609038438	0.0221692863470764	0	0	0	0	0	0.048171708876365	0.0342545836770057	0.0308206716964808	0.0244651513164641	0	0	0	0	0	0	0	0
ENSG00000221354.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258916.2	0	0	0	0	0	0	0	0	0.00645115605389261	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00218649774056599	0.215786636021059	0
ENSG00000258707.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0221126580232723	0	0.476312743630426	0.417416861629132	0
ENSG00000270685.1	0.0696007122342222	0	0.0443672569695652	0.494679088102205	0.110982358772503	0.333520336933024	0.0916461847027247	0.0901637156098296	0.396873051551608	0.0297758428277291	0.0241257961451177	0	0.402801313277787	0.176325307563488	0	0	0.8557096803021	0.0261122026682475	0	0.116819318104662	1.86900311589705	0.552890399601702	17.7873184852288	22.3257641093642	0.149227345843765
ENSG00000258590.1	0.189828128497132	0.0324023937178634	0.125819479204962	0.764966643381059	0.854416747650476	0.358029507803037	0.177524630393482	0.0922167793428808	0.455834769557544	0.0152269253170266	0.291615410710436	0.149026104173616	0.850000164261962	0.459048049292419	0.0233161451919115	0.482511860256669	1.85955708955814	0.0606972452914671	0.054158091101618	0.385592417159505	6.17076829837077	0.743691792405427	13.0924835302841	34.8463307465896	0.242812996320737
ENSG00000260409.1	0.625885056458305	0.352723095114646	0.365725225912355	0.602039954650702	0.560786515475443	0.616715479455373	0.739099973552415	0.482617890982702	0.819743809057833	0.041438977268678	0.516551066028425	0.114389783249369	0.74993676629366	0.755050942500327	0.489186245544655	1.33654362261312	0.183213745532847	0.195678522492079	0.244002440246542	2.40739311053544	1.79697783858785	1.27848139593292	0.738639063500751	1.52393432441409	1.30198996235628
ENSG00000238478.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259383.1	0	0	0	0	0	0	0	0	0.717249103311379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259443.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258420.1	0	0	0	0	0	0	0	0.0115611792352043	0	0	0	0	0.0112280252299294	0.0125606605387905	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268343.1	0	0	0	0.0262268996397026	0.0111797207221641	0	0.00769325534827082	0.0181651421169877	0	0	0	0	0.0352833685639484	0.029603318890982	0	0	0.0100231677199611	0	0	0.455998461603109	0.0177615623182525	0.0371299866986557	0	0.438445656420343	0
ENSG00000259089.2	0	0	0	0	0.0300133632528005	0.0546637083110869	0	0	0	0	0	0	0.0078935525598058	0	0	0.0677973776871338	0.0089694838597812	0	0	0	0.143049428973153	0	0	0.300035510264304	0
ENSG00000259214.1	0.127663338483092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265322.1	0	0	0	0	0	0	0	0	0	0	0	0	0.0800932466401629	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230031.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238489.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261048.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0749420687841004	0	0	0	0	0.0319108351773138
